,Date,Open,High,Low,Close,Volume,Trading Value,index,Close_1309,Date_1309,diff_1309,Close_1322,Date_1322,diff_1322,Close_1326,Date_1326,diff_1326,Close_1343,Date_1343,diff_1343,Close_1543,Date_1543,diff_1543,Close_1551,Date_1551,diff_1551,Close_1633,Date_1633,diff_1633,Close_1678,Date_1678,diff_1678,Close_1681,Date_1681,diff_1681,Close_1682,Date_1682,diff_1682,Close_1698,Date_1698,diff_1698
10,2018-01-22,5390,5410,5340,5370,375200,5370,10,39250,2018-01-22,-0.01505646173149311,6310,2018-01-22,-0.012519561815336422,13990,2018-01-22,-0.0035612535612535856,1861,2018-01-22,-0.006406833956219993,37200,2018-01-22,0.006765899864682012,5790,2018-01-22,-0.013628620102214661,31850,2018-01-22,-0.027480916030534375,170,2018-01-22,-0.017341040462427793,1671,2018-01-22,-0.011827321111768208,179,2018-01-22,-0.005555555555555536,1993,2018-01-22,-0.0059850374064838174
11,2018-01-23,5380,5410,5350,5400,300000,5400,11,39850,2018-01-23,-0.0012531328320801727,6390,2018-01-23,-0.0015625000000000222,14040,2018-01-23,0.0028571428571428914,1873,2018-01-23,-0.0037234042553191404,36950,2018-01-23,0.0054421768707482165,5870,2018-01-23,0.0,32750,2018-01-23,-0.016516516516516533,173,2018-01-23,0.0,1691,2018-01-23,0.002371072910491989,180,2018-01-23,0.005586592178770999,2005,2018-01-23,0.003503503503503591
12,2018-01-24,5460,5510,5350,5370,356900,5370,12,39900,2018-01-24,0.008849557522123908,6400,2018-01-24,-0.004665629860031051,14000,2018-01-24,-0.007092198581560294,1880,2018-01-24,0.0,36750,2018-01-24,-0.010767160161507361,5870,2018-01-24,0.00859106529209619,33300,2018-01-24,0.0,173,2018-01-24,0.0,1687,2018-01-24,0.002376708259061111,179,2018-01-24,0.0,1998,2018-01-24,0.004524886877828038
13,2018-01-25,5330,5380,5300,5340,301100,5340,13,39550,2018-01-25,-0.005031446540880502,6430,2018-01-25,-0.009244992295839749,14100,2018-01-25,0.0049893086243764095,1880,2018-01-25,0.005885500267522659,37150,2018-01-25,0.012261580381471404,5820,2018-01-25,0.0,33300,2018-01-25,0.0060422960725075026,173,2018-01-25,-0.005747126436781658,1683,2018-01-25,-0.008249852681202152,179,2018-01-25,0.0,1989,2018-01-25,-0.003007518796992459
14,2018-01-26,5360,5420,5230,5370,426900,5370,14,39750,2018-01-26,0.015325670498084198,6490,2018-01-26,0.006201550387596955,14030,2018-01-26,0.008626887131560013,1869,2018-01-26,0.0032206119162641045,36700,2018-01-26,0.011019283746556363,5820,2018-01-26,-0.00512820512820511,33100,2018-01-26,0.006079027355623046,174,2018-01-26,-0.022471910112359605,1697,2018-01-26,-0.005858230814294041,179,2018-01-26,-0.005555555555555536,1995,2018-01-26,0.005037783375314797
15,2018-01-29,5330,5400,5310,5330,352600,5330,15,39150,2018-01-29,0.04400000000000004,6450,2018-01-29,0.023809523809523725,13910,2018-01-29,0.010901162790697638,1863,2018-01-29,0.0037715517241379004,36300,2018-01-29,0.008333333333333304,5850,2018-01-29,0.005154639175257714,32900,2018-01-29,0.024922118380062308,178,2018-01-29,0.005649717514124353,1707,2018-01-29,0.017889087656529412,180,2018-01-29,0.005586592178770999,1985,2018-01-29,0.002019182231196348
16,2018-01-30,5390,5430,5300,5350,508600,5350,16,37500,2018-01-30,0.027397260273972712,6300,2018-01-30,0.021069692058346856,13760,2018-01-30,-0.005780346820809301,1856,2018-01-30,-0.002686727565824776,36000,2018-01-30,0.02127659574468077,5820,2018-01-30,0.006920415224913601,32100,2018-01-30,0.0,177,2018-01-30,0.005681818181818121,1677,2018-01-30,0.0,179,2018-01-30,0.0,1981,2018-01-30,0.011746680286006228
17,2018-01-31,5190,5190,4855,5020,1276800,5020,17,36500,2018-01-31,-0.008152173913043459,6170,2018-01-31,-0.006441223832528209,13840,2018-01-31,-0.005747126436781658,1861,2018-01-31,-0.0032137118371718953,35250,2018-01-31,0.02026049204052094,5780,2018-01-31,0.012259194395796813,32100,2018-01-31,0.0046948356807512415,176,2018-01-31,-0.016759776536312887,1677,2018-01-31,-0.0017857142857142794,179,2018-01-31,-0.005555555555555536,1958,2018-01-31,-0.019529293940911407
18,2018-02-01,5000,5160,5000,5140,806300,5140,18,36800,2018-02-01,-0.006747638326585648,6210,2018-02-01,-0.001607717041800627,13920,2018-02-01,-0.0064239828693790635,1867,2018-02-01,0.0037634408602149616,34550,2018-02-01,0.0043604651162789665,5710,2018-02-01,0.0017543859649122862,31950,2018-02-01,0.006299212598425141,179,2018-02-01,0.00561797752808979,1680,2018-02-01,0.0059880239520957446,180,2018-02-01,0.005586592178770999,1997,2018-02-01,0.010116337885685445
19,2018-02-02,5130,5170,5090,5120,677800,5120,19,37050,2018-02-02,0.01091405184174632,6220,2018-02-02,0.0,14010,2018-02-02,0.007913669064748108,1860,2018-02-02,0.006493506493506551,34400,2018-02-02,-0.017142857142857126,5700,2018-02-02,0.032608695652173836,31750,2018-02-02,0.020900321543408262,178,2018-02-02,0.028901734104046284,1670,2018-02-02,0.013964784456587775,179,2018-02-02,0.0,1977,2018-02-02,0.00713194090677538
20,2018-02-05,5000,5030,4955,4960,642100,4960,20,36650,2018-02-05,0.01947148817802513,6220,2018-02-05,0.04537815126050426,13900,2018-02-05,0.00216294160057684,1848,2018-02-05,0.028380634390651194,35000,2018-02-05,0.035502958579881616,5520,2018-02-05,0.06769825918762096,31100,2018-02-05,0.07056798623063676,173,2018-02-05,0.048484848484848575,1647,2018-02-05,0.05509288917360666,179,2018-02-05,0.017045454545454586,1963,2018-02-05,0.05029427501337613
21,2018-02-06,4760,4775,4585,4685,788000,4685,21,35950,2018-02-06,-0.00277392510402219,5950,2018-02-06,-0.04647435897435892,13870,2018-02-06,0.0072621641249093205,1797,2018-02-06,0.010686164229471329,33800,2018-02-06,-0.004418262150220897,5170,2018-02-06,-0.007677543186180413,29050,2018-02-06,-0.019905533063427794,165,2018-02-06,-0.023668639053254448,1561,2018-02-06,-0.033436532507739924,176,2018-02-06,0.0,1869,2018-02-06,-0.008488063660477496
22,2018-02-07,4800,4820,4660,4665,736900,4665,22,36050,2018-02-07,0.016925246826516194,6240,2018-02-07,0.019607843137254832,13770,2018-02-07,0.011013215859030812,1778,2018-02-07,-0.007258514796203208,33950,2018-02-07,0.02413273001508287,5210,2018-02-07,-0.003824091778202643,29640,2018-02-07,0.003045685279187804,169,2018-02-07,-0.011695906432748537,1615,2018-02-07,-0.0030864197530864335,176,2018-02-07,-0.005649717514124242,1885,2018-02-07,-0.007372301211163723
23,2018-02-08,4670,4725,4630,4690,850500,4690,23,35450,2018-02-08,0.03958944281524923,6120,2018-02-08,0.04436860068259385,13620,2018-02-08,0.0,1791,2018-02-08,0.01243640474844554,33150,2018-02-08,0.02472952086553315,5230,2018-02-08,0.017509727626459082,29550,2018-02-08,0.023908523908523938,171,2018-02-08,0.01183431952662728,1620,2018-02-08,0.013767209011264159,177,2018-02-08,0.0,1899,2018-02-08,0.017139796464916923
24,2018-02-09,4550,4625,4535,4625,518600,4625,24,34100,2018-02-09,0.017910447761193993,5860,2018-02-09,0.01384083044982698,13620,2018-02-09,0.0,1769,2018-02-09,0.001698754246885592,32350,2018-02-09,-0.012213740458015265,5140,2018-02-09,0.0,28860,2018-02-09,-0.0031088082901554737,169,2018-02-09,-0.011695906432748537,1598,2018-02-09,0.008201892744479578,177,2018-02-09,0.0,1867,2018-02-09,0.01357220412595006
25,2018-02-13,4695,4695,4550,4570,662300,4570,25,33500,2018-02-13,-0.026162790697674465,5780,2018-02-13,0.01760563380281699,13620,2018-02-13,0.004424778761061843,1766,2018-02-13,0.010297482837528626,32750,2018-02-13,0.003062787136294043,5140,2018-02-13,0.03006012024048088,28950,2018-02-13,0.006956521739130528,171,2018-02-13,0.01183431952662728,1585,2018-02-13,0.02126288659793807,177,2018-02-09,-0.005617977528089901,1842,2018-02-13,0.005458515283842891
26,2018-02-14,4555,4570,4505,4515,504800,4515,26,34400,2018-02-14,-0.01573676680972813,5680,2018-02-14,-0.048576214405360085,13560,2018-02-14,-0.00877192982456143,1748,2018-02-14,-0.0005717552887364308,32650,2018-02-14,-0.016566265060240948,4990,2018-02-14,-0.003992015968063867,28750,2018-02-14,-0.0103270223752151,169,2018-02-14,0.0,1552,2018-02-14,-0.019583070120025248,178,2018-02-14,-0.005586592178770999,1832,2018-02-14,-0.007046070460704601
27,2018-02-15,4575,4585,4500,4565,701100,4565,27,34950,2018-02-15,-0.004273504273504258,5970,2018-02-15,0.027538726333907082,13680,2018-02-15,0.004405286343612369,1749,2018-02-15,-0.00962627406568517,33200,2018-02-15,0.010654490106544845,5010,2018-02-15,-0.015717092337917515,29050,2018-02-15,0.003454231433505983,169,2018-02-15,-0.011695906432748537,1583,2018-02-15,-0.014321295143212898,179,2018-02-15,0.00561797752808979,1845,2018-02-15,-0.013368983957219305
28,2018-02-16,4610,4680,4580,4655,662300,4655,28,35100,2018-02-16,-0.005665722379603388,5810,2018-02-16,0.00868055555555558,13620,2018-02-16,0.0007347538574578039,1766,2018-02-16,-0.01175153889199776,32850,2018-02-16,-0.03947368421052633,5090,2018-02-16,-0.019267822736030782,28950,2018-02-16,-0.024595687331536387,171,2018-02-16,0.0,1606,2018-02-16,-0.014723926380368124,178,2018-02-16,0.0,1870,2018-02-16,-0.009533898305084776
29,2018-02-19,4725,4725,4675,4695,343100,4695,29,35300,2018-02-19,0.0028409090909091717,5760,2018-02-19,-0.01873935264054516,13610,2018-02-19,0.0014716703458426128,1787,2018-02-19,-0.011068068622025473,34200,2018-02-19,0.030120481927710774,5190,2018-02-19,-0.0038387715930902067,29680,2018-02-19,0.0013495276653170407,171,2018-02-19,0.00588235294117645,1630,2018-02-19,0.016209476309226867,178,2018-02-16,-0.005586592178770999,1888,2018-02-19,-0.0010582010582010914
30,2018-02-20,4665,4700,4620,4675,392100,4675,30,35200,2018-02-20,-0.011235955056179803,5870,2018-02-20,-0.02003338898163609,13590,2018-02-20,0.0014738393515105752,1807,2018-02-20,0.002774694783573839,33200,2018-02-20,-0.022091310751104598,5210,2018-02-20,-0.011385199240986688,29640,2018-02-20,0.0027063599458727605,170,2018-02-20,-0.005847953216374324,1604,2018-02-20,-0.008039579468150926,179,2018-02-20,0.011299435028248483,1890,2018-02-20,0.004784688995215225
31,2018-02-21,4650,4660,4610,4650,599000,4650,31,35600,2018-02-21,-0.0028011204481792618,5990,2018-02-21,0.0,13570,2018-02-21,0.005185185185185182,1802,2018-02-21,0.004459308807134965,33950,2018-02-21,0.002954209748892156,5270,2018-02-21,0.003809523809523707,29560,2018-02-21,0.01198219787743926,171,2018-02-21,0.0,1617,2018-02-21,-0.001235330450895633,177,2018-02-21,-0.005617977528089901,1881,2018-02-21,0.005344735435595993
32,2018-02-22,4635,4665,4580,4605,689400,4605,32,35700,2018-02-22,0.017094017094017033,5990,2018-02-22,0.0,13500,2018-02-22,0.00222717149220486,1794,2018-02-22,-0.009387078961899498,33850,2018-02-22,-0.002945508100147265,5250,2018-02-22,0.0,29210,2018-02-22,-0.01016604540833621,171,2018-02-22,-0.005813953488372103,1619,2018-02-22,0.009981285090455483,178,2018-02-22,0.0,1871,2018-02-22,-0.006900212314225107
33,2018-02-23,4600,4655,4560,4630,487100,4630,33,35100,2018-02-23,-0.0028409090909090606,5990,2018-02-23,-0.0180327868852459,13470,2018-02-23,-0.005169867060561328,1811,2018-02-23,-0.009841443411700346,33950,2018-02-23,0.0,5250,2018-02-23,0.003824091778202643,29510,2018-02-23,-0.017970049916805286,172,2018-02-23,0.005847953216374213,1603,2018-02-23,-0.0061996280223186595,178,2018-02-23,0.005649717514124353,1884,2018-02-23,-0.0042283298097252064
34,2018-02-26,4655,4695,4635,4670,491500,4670,34,35200,2018-02-26,-0.009845288326300938,6100,2018-02-26,0.01836393989983298,13540,2018-02-26,0.0022205773501109416,1829,2018-02-26,0.000547045951859948,33950,2018-02-26,-0.008759124087591275,5230,2018-02-26,0.005769230769230749,30050,2018-02-26,0.0016666666666667052,171,2018-02-26,-0.017241379310344862,1613,2018-02-26,-0.0037059913526867883,177,2018-02-26,0.0,1892,2018-02-26,-0.006302521008403339
35,2018-02-27,4765,4835,4720,4795,1454800,4795,35,35550,2018-02-27,0.011379800853485111,5990,2018-02-27,-0.004983388704318914,13510,2018-02-27,0.008961911874533213,1828,2018-02-27,0.01106194690265494,34250,2018-02-27,0.008836524300441795,5200,2018-02-27,-0.011406844106463865,30000,2018-02-27,0.021102791014295352,174,2018-02-27,0.0235294117647058,1619,2018-02-27,-0.0018495684340320562,177,2018-02-27,0.005681818181818121,1904,2018-02-27,0.002105263157894832
36,2018-02-28,4800,4875,4800,4820,1045700,4820,36,35150,2018-02-28,0.010057471264367734,6020,2018-02-28,0.0033333333333334103,13390,2018-02-28,0.005255255255255165,1808,2018-02-28,0.007242339832869149,33950,2018-02-28,0.011922503725782407,5260,2018-02-28,0.023346303501945442,29380,2018-02-28,0.008236101578586119,170,2018-02-28,0.0,1622,2018-02-28,0.0012345679012346622,176,2018-02-28,-0.011235955056179803,1900,2018-02-28,0.018220793140407254
37,2018-03-01,4770,4800,4735,4755,666800,4755,37,34800,2018-03-01,0.01754385964912286,6000,2018-03-01,0.010101010101010166,13320,2018-03-01,0.0075642965204236745,1795,2018-03-01,0.006730229949523325,33550,2018-03-01,0.04192546583850931,5140,2018-03-01,0.011811023622047223,29140,2018-03-01,0.020308123249299648,170,2018-03-01,0.0,1620,2018-03-01,0.010605115408608867,178,2018-03-01,0.011363636363636465,1866,2018-03-01,0.016893732970027164
38,2018-03-02,4650,4690,4635,4645,633900,4645,38,34200,2018-03-02,0.030120481927710774,5940,2018-03-02,0.024137931034482696,13220,2018-03-02,-0.004518072289156572,1783,2018-03-02,0.007914075749010818,32200,2018-03-02,0.01577287066246047,5080,2018-03-02,0.025227043390514625,28560,2018-03-02,0.014925373134328401,170,2018-03-02,0.00591715976331364,1603,2018-03-02,0.01327433628318575,176,2018-03-02,0.0,1835,2018-03-02,0.004928806133625452
39,2018-03-05,4635,4765,4630,4750,752000,4750,39,33200,2018-03-05,-0.004497751124437732,5800,2018-03-05,-0.020270270270270285,13280,2018-03-05,-0.0030030030030030463,1769,2018-03-05,-0.0033802816901408184,31700,2018-03-05,-0.0031446540880503138,4955,2018-03-05,-0.02075098814229248,28140,2018-03-05,-0.009852216748768461,169,2018-03-05,0.0,1582,2018-03-05,0.008285532186105726,176,2018-03-05,0.0,1826,2018-03-05,-0.009761388286334105
40,2018-03-06,4845,4920,4825,4905,642100,4905,40,33350,2018-03-06,0.003007518796992459,5920,2018-03-06,0.010238907849829282,13320,2018-03-06,-0.0022471910112359383,1775,2018-03-06,-0.007825600894354356,31800,2018-03-06,0.01273885350318471,5060,2018-03-06,0.005964214711729587,28420,2018-03-06,0.0014094432699083281,169,2018-03-06,0.011976047904191711,1569,2018-03-06,-0.0063331222292589695,176,2018-03-05,0.0,1844,2018-03-06,0.0021739130434783593
