"01","市場第一部（内国株）"
"02","市場第一部（外国株）"
"03","市場第二部（内国株）"
"04","市場第二部（外国株）"
"05","JASDAQ(スタンダード・内国株）"
"06","JASDAQ(グロース・内国株）"
"07","JASDAQ(スタンダード・外国株）"
"08","マザーズ（内国株）"
"09","マザーズ（外国株）"
"10","ETF・ETN"
"11","PRO Market"
"12","REIT・ベンチャーファンド・カントリーファンド・インフラファンド"
"13","出資証券"
