"1301","極洋","市場第一部（内国株）","50","1","7","0"
"1305","ダイワ上場投信－トピックス","ETF・ETN","-","-","-","0"
"1306","ＴＯＰＩＸ連動型上場投資信託","ETF・ETN","-","-","-","0"
"1308","上場インデックスファンドＴＯＰＩＸ","ETF・ETN","-","-","-","0"
"1309","上海株式指数・上証５０連動型上場投資信託","ETF・ETN","-","-","-","0"
"1310","ダイワ上場投信－トピックス・コア３０","ETF・ETN","-","-","-","0"
"1311","ＴＯＰＩＸ　Ｃｏｒｅ　３０　連動型上場投資信託","ETF・ETN","-","-","-","0"
"1312","ラッセル野村小型コア・インデックス連動型上場投資信託","ETF・ETN","-","-","-","0"
"1313","サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］","ETF・ETN","-","-","-","0"
"1319","日経３００株価指数連動型上場投資信託","ETF・ETN","-","-","-","0"
"1320","ダイワ上場投信－日経２２５","ETF・ETN","-","-","-","0"
"1321","日経２２５連動型上場投資信託","ETF・ETN","-","-","-","0"
"1322","上場インデックスファンド中国Ａ株（パンダ）ＣＳＩ３００","ETF・ETN","-","-","-","0"
"1323","ＮＥＸＴ　ＦＵＮＤＳ　南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ　Ａｆｒｉｃａ　Ｔｏｐ４０連動型上場投信","ETF・ETN","-","-","-","0"
"1324","ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数・ＲＴＳ連動型上場投信","ETF・ETN","-","-","-","0"
"1325","ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信","ETF・ETN","-","-","-","0"
"1326","ＳＰＤＲゴールド・シェア","ETF・ETN","-","-","-","0"
"1327","Ｓ＆Ｐ　ＧＳＣＩ商品指数　エネルギー＆メタル・キャップド・コンポーネント３５／２０・ＴＨＥＡＭ・イージーＵＣＩＴＳ・ＥＴＦクラスＡ米ドル建受益証券","ETF・ETN","-","-","-","0"
"1328","金価格連動型上場投資信託","ETF・ETN","-","-","-","0"
"1329","ｉシェアーズ　日経２２５　ＥＴＦ","ETF・ETN","-","-","-","0"
"1330","上場インデックスファンド２２５","ETF・ETN","-","-","-","0"
"1332","日本水産","市場第一部（内国株）","50","1","4","0"
"1333","マルハニチロ","市場第一部（内国株）","50","1","4","0"
"1343","ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信","ETF・ETN","-","-","-","0"
"1344","ＭＡＸＩＳ　トピックス・コア３０上場投信","ETF・ETN","-","-","-","0"
"1345","上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型","ETF・ETN","-","-","-","0"
"1346","ＭＡＸＩＳ　日経２２５上場投信","ETF・ETN","-","-","-","0"
"1348","ＭＡＸＩＳ　トピックス上場投信","ETF・ETN","-","-","-","0"
"1349","ＡＢＦ汎アジア債券インデックス・ファンド","ETF・ETN","-","-","-","0"
"1352","ホウスイ","市場第一部（内国株）","6050","13","7","0"
"1356","ＴＯＰＩＸベア２倍上場投信","ETF・ETN","-","-","-","0"
"1357","ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信","ETF・ETN","-","-","-","0"
"1358","上場インデックスファンド日経レバレッジ指数","ETF・ETN","-","-","-","0"
"1360","日経平均ベア２倍上場投信","ETF・ETN","-","-","-","0"
"1364","ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ","ETF・ETN","-","-","-","0"
"1365","ダイワ上場投信－日経平均レバレッジ・インデックス","ETF・ETN","-","-","-","0"
"1366","ダイワ上場投信－日経平均ダブルインバース・インデックス","ETF・ETN","-","-","-","0"
"1367","ダイワ上場投信－ＴＯＰＩＸレバレッジ（２倍）指数","ETF・ETN","-","-","-","0"
"1368","ダイワ上場投信－ＴＯＰＩＸダブルインバース（－２倍）指数","ETF・ETN","-","-","-","0"
"1369","Ｏｎｅ　ＥＴＦ　日経２２５","ETF・ETN","-","-","-","0"
"1376","カネコ種苗","市場第一部（内国株）","50","1","7","0"
"1377","サカタのタネ","市場第一部（内国株）","50","1","6","0"
"1379","ホクト","市場第一部（内国株）","50","1","6","0"
"1380","秋川牧園","JASDAQ(スタンダード・内国株）","50","1","-","0"
"1381","アクシーズ","JASDAQ(スタンダード・内国株）","50","1","-","0"
"1382","ホーブ","JASDAQ(スタンダード・内国株）","50","1","-","0"
"1383","ベルグアース","JASDAQ(スタンダード・内国株）","50","1","-","0"
"1384","ホクリヨウ","市場第一部（内国株）","50","1","7","0"
"1385","ＵＢＳ　ＥＴＦ　ユーロ圏大型株５０（ユーロ・ストックス５０）","ETF・ETN","-","-","-","0"
"1386","ＵＢＳ　ＥＴＦ　欧州株（ＭＳＣＩヨーロッパ）","ETF・ETN","-","-","-","0"
"1387","ＵＢＳ　ＥＴＦ　欧州通貨圏株（ＭＳＣＩ　ＥＭＵ）","ETF・ETN","-","-","-","0"
"1388","ＵＢＳ　ＥＴＦ　欧州通貨圏小型株（ＭＳＣＩ　ＥＭＵ小型株）","ETF・ETN","-","-","-","0"
"1389","ＵＢＳ　ＥＴＦ　英国大型株１００（ＦＴＳＥ　１００）","ETF・ETN","-","-","-","0"
"1390","ＵＢＳ　ＥＴＦ　ＭＳＣＩアジア太平洋株（除く日本）","ETF・ETN","-","-","-","0"
"1391","ＵＢＳ　ＥＴＦ　スイス株（ＭＳＣＩスイス２０／３５）","ETF・ETN","-","-","-","0"
"1392","ＵＢＳ　ＥＴＦ　英国株（ＭＳＣＩ英国）","ETF・ETN","-","-","-","0"
"1393","ＵＢＳ　ＥＴＦ　米国株（ＭＳＣＩ米国）","ETF・ETN","-","-","-","0"
"1394","ＵＢＳ　ＥＴＦ　先進国株（ＭＳＣＩワールド）","ETF・ETN","-","-","-","0"
"1397","ＳＭＡＭ　日経２２５上場投信","ETF・ETN","-","-","-","0"
"1398","ＳＭＡＭ　東証ＲＥＩＴ指数上場投信","ETF・ETN","-","-","-","0"
